TRANSACTION_AMOUNT,FIRST_TWO_DIGITS,EXPECTED_COUNTS,ACTUAL_COUNTS,EXPECTED_FREQUENCIES,ACTUAL_FREQUENCIES,ABSOLUTE_DEVIATION,Z_STATISTIC
10.0,10,1639.68843717277,1725,0.04139268515822508,0.04354631055461591,0.002153625396390829,2.139213002693276
11.0,11,1496.9182625117924,1289,0.037788560889399754,0.03253982278544922,0.0052487381039505315,5.465283446531024
12.0,12,1377.0313152461613,1317,0.03476210625921191,0.033246661449524144,0.001515444809687766,1.63288796325547
13.0,13,1274.931862391317,989,0.032184683371401235,0.024966551384646454,0.007218131986754781,8.125736187408807
14.0,14,1186.9331676506577,1022,0.029963223377443202,0.025799611238734758,0.004163612138708445,4.845986392142525
15.0,15,1110.3018279764472,1328,0.028028723600243534,0.03352434806755358,0.005495624467310049,6.611635806138524
16.0,16,1042.9682496084167,897,0.02632893872234915,0.02264408148840027,0.0036848572339488773,4.564850281149582
17.0,17,983.3366220996984,1022,0.024823583725032145,0.025799611238734758,0.0009760275137026125,1.232406857128699
18.0,18,930.1566498871507,796,0.0234810958495229,0.020094413450130008,0.0033866823993928923,4.434781182940924
19.0,19,882.4348236928724,976,0.022276394711152208,0.024638376290611667,0.0023619815794594587,3.1683841712597585
20.0,20,839.3717040574576,1003,0.021189299069938092,0.025319970716683918,0.004130671646745826,5.691186043794795
21.0,21,800.3167331153124,744,0.02020338608828699,0.01878171307399086,0.0014216730142961286,1.9932670994433264
22.0,22,764.7351127548503,715,0.019305155195386624,0.018049630171913262,0.0012555250234733625,1.7978459456761557
23.0,23,732.1831497569423,678,0.018483405694013133,0.017115593365814252,0.0013678123281988808,2.0025312453750552
24.0,24,702.2896456035776,918,0.017728766960431616,0.023174210486456466,0.00544544352602485,8.193874677813026
25.0,25,674.7416696425868,1072,0.01703333929878037,0.027061823138868554,0.010028483840088184,15.405929077026286
26.0,26,649.2735564619538,644,0.016390416188169384,0.016257289273723274,0.00013312691444610988,0.18889342023260766
27.0,27,625.6583059293647,594,0.015794267183231885,0.014995077373589478,0.0007991898096424074,1.2556317383397428
28.0,28,603.700795212019,508,0.015239966556736905,0.012824072905359352,0.002415893651377553,3.9044916185054235
29.0,29,583.2323724386417,657,0.014723256820706378,0.016585464367758058,0.0018622075470516794,3.056414156040978
30.0,30,564.1065146470572,855,0.014240439114610285,0.021583823492287886,0.007343384377677601,12.314614258908579
31.0,31,546.1953133293913,520,0.013788284485633285,0.013127003761391462,0.000661280724241823,1.1071204032881874
32.0,32,529.3866091963213,471,0.013363961557981502,0.011890036099260344,0.0014739254587211575,2.5328714434254223
33.0,33,513.5816404120951,519,0.012964977164367635,0.013101759523388786,0.00013678235902115157,0.21844859252838716
34.0,34,498.69310005261474,434,0.012589127308020467,0.010955999293161336,0.0016331280148591306,2.892828698121596
35.0,35,484.64352204707995,538,0.012234456417011586,0.013581400045439628,0.001346943628428042,2.4157950028660786
36.0,36,471.36393257132073,398,0.01189922329970769,0.010047206725065004,0.0018520165746426856,3.376243899391032
37.0,37,458.7927173158271,449,0.011581872549815138,0.011334662863201474,0.00024720968661366347,0.4363792761234055
38.0,38,446.8746653590137,435,0.011281010409689084,0.010981243531164012,0.00029976687852507206,0.5411396095738913
39.0,39,435.56015833385953,474,0.010995384301463145,0.011965768813268371,0.0009703845118052262,1.8279835423445012
40.0,40,424.80447976430645,532,0.010723865391773066,0.013429934617423573,0.002706069225650507,5.204666126560218
41.0,41,414.5672242931493,387,0.010465433678164979,0.00976952010703557,0.0006959135711294088,1.3363824236876203
42.0,42,404.81179034212863,387,0.010219165181686028,0.00976952010703557,0.00044964507465045794,0.8648601510232364
